age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
27.0,Male,Single,Graduate,5375.0,Private,0.5,MNC,Family,0.0,2,1,0.0,22000.0,5100.0,10100.0,4500.0,No,0.0,665.0,250100.0,81700.0,Home Appliances EMI,56000.0,25,Not_Eligible,500.0
58.0,Female,Married,Post Graduate,76800.0,Private,1.7,Small,Family,0.0,2,1,0.0,0.0,6700.0,17600.0,5700.0,Yes,17200.0,716.0,592500.0,119500.0,Personal Loan EMI,483000.0,51,Not_Eligible,11396.0
27.0,Female,Single,Graduate,56700.0,Private,3.6,Mid-size,Family,0.0,2,1,0.0,0.0,4000.0,15300.0,4000.0,No,0.0,723.0,57900.0,22200.0,Education EMI,67000.0,7,Eligible,13360.0
32.0,Female,Married,Graduate,40700.0,Government,1.4,Small,Rented,10300.0,2,1,0.0,0.0,2500.0,8500.0,3600.0,Yes,11900.0,688.0,148400.0,53100.0,Vehicle EMI,332000.0,12,Not_Eligible,1365.0
38.0,Male,Married,Graduate,47600.0,Private,1.3,Mid-size,Family,0.0,3,2,12600.0,0.0,4200.0,7300.0,4600.0,Yes,11300.0,670.0,155900.0,83900.0,Education EMI,471000.0,15,Not_Eligible,2660.0
27.0,Male,Married,Graduate,22700.0,Government,0.5,Startup,Own,0.0,3,2,3400.0,0.0,1900.0,5600.0,3900.0,Yes,4100.0,776.0,39000.0,18200.0,Personal Loan EMI,100000.0,48,Not_Eligible,1276.8
38.0,Female,Married,Graduate,20500.0,Private,0.6,Large Indian,Family,0.0,3,2,3000.0,0.0,1500.0,4200.0,2300.0,No,0.0,589.0,129500.0,69500.0,Education EMI,237000.0,23,Not_Eligible,3344.0
32.0,Male,Single,High School,7387.0,Private,8.2,Mid-size,Rented,10600.0,2,1,3100.0,9000.0,3900.0,8000.0,1600.0,Yes,4700.0,686.0,116500.0,56400.0,Personal Loan EMI,609000.0,20,Not_Eligible,500.0
38.0,Male,Single,Post Graduate,64200.0,Private,16.0,Large Indian,Own,0.0,3,2,12600.0,0.0,3900.0,17400.0,6200.0,Yes,11900.0,713.0,104700.0,22600.0,E-commerce Shopping EMI,110000.0,14,Not_Eligible,3416.0
38.0,Male,Married,Graduate,37700.0,Private,6.5,MNC,Rented,9200.0,3,2,14800.0,22200.0,3100.0,7300.0,7200.0,No,0.0,687.0,293200.0,171300.0,Personal Loan EMI,58000.0,18,Not_Eligible,500.0
48.0,Male,Married,Post Graduate,8909.0,Private,7.4,Large Indian,Rented,16500.0,4,3,12300.0,0.0,4400.0,9200.0,11200.0,No,0.0,714.0,76200.0,38700.0,Education EMI,211000.0,33,Not_Eligible,2720.0
38.0,Male,Single,Post Graduate,47800.0,Private,9.3,Mid-size,Rented,11400.0,2,1,9200.0,13100.0,7000.0,13900.0,8400.0,No,0.0,802.0,357500.0,165700.0,Home Appliances EMI,170000.0,33,Not_Eligible,500.0
38.0,Male,Single,Graduate,57800.0,Private,4.4,Large Indian,Own,0.0,2,1,0.0,0.0,8000.0,16400.0,5000.0,No,0.0,699.0,369800.0,83100.0,Education EMI,488000.0,41,High_Risk,15620.0
58.0,Female,Married,Professional,108600.0,Government,7.1,Small,Rented,29000.0,3,2,0.0,0.0,14800.0,26800.0,5600.0,Yes,25700.0,703.0,595500.0,204200.0,Personal Loan EMI,597000.0,33,Not_Eligible,2579.5
48.0,Female,Married,High School,26800.0,Self-employed,26.0,MNC,Family,0.0,2,1,2100.0,0.0,3400.0,7800.0,2900.0,No,0.0,798.0,183000.0,90200.0,E-commerce Shopping EMI,63000.0,18,Eligible,6296.4
38.0,Female,Married,Graduate,33400.0,Private,0.5,Large Indian,Rented,6700.0,5,4,0.0,14700.0,2400.0,8900.0,6300.0,No,0.0,658.0,200600.0,63300.0,Vehicle EMI,1160000.0,78,Not_Eligible,500.0
32.0,Male,Married,Post Graduate,105300.0,Private,10.0,MNC,Family,0.0,3,2,0.0,16900.0,8300.0,16900.0,20600.0,No,0.0,838.0,280700.0,157800.0,Education EMI,66000.0,31,Eligible,25560.0
27.0,Female,Single,Graduate,47800.0,Private,0.5,Mid-size,Own,0.0,1,0,0.0,0.0,6500.0,10400.0,3400.0,Yes,5100.0,633.0,375300.0,187600.0,E-commerce Shopping EMI,19000.0,20,Eligible,5519.36
38.0,Male,Married,Graduate,60700.0,Self-employed,6.1,Large Indian,Family,0.0,3,2,7200.0,0.0,7500.0,17100.0,3300.0,No,0.0,705.0,327500.0,192500.0,Home Appliances EMI,242000.0,16,Not_Eligible,11520.0
32.0,Female,Single,Professional,49200.0,Private,3.3,Large Indian,Family,0.0,1,0,0.0,0.0,4700.0,8900.0,3100.0,Yes,6200.0,735.0,46700.0,16500.0,Education EMI,356000.0,40,Not_Eligible,7364.0
38.0,Male,Married,Post Graduate,53000.0,Private,5.8,Startup,Rented,18000.0,5,4,0.0,0.0,5000.0,12100.0,5100.0,Yes,6200.0,591.0,105500.0,55600.0,Vehicle EMI,802000.0,84,Not_Eligible,1478.4
38.0,Male,Married,Graduate,42300.0,Private,3.1,Small,Own,0.0,3,2,0.0,0.0,5000.0,9600.0,8400.0,No,0.0,732.0,161000.0,63400.0,E-commerce Shopping EMI,49000.0,5,Not_Eligible,9650.0
48.0,Male,Married,Professional,43700.0,Private,6.3,Mid-size,Own,0.0,2,1,14100.0,22400.0,3900.0,6900.0,4400.0,No,0.0,698.0,59200.0,23100.0,Home Appliances EMI,287000.0,21,Not_Eligible,500.0
38.0,Male,Single,Professional,127400.0,Self-employed,1.3,Mid-size,Own,0.0,1,0,0.0,0.0,14200.0,36000.0,18000.0,No,0.0,741.0,896200.0,333700.0,Personal Loan EMI,566000.0,58,Eligible,29304.0
32.0,Male,Married,Graduate,45700.0,Government,3.6,Startup,Rented,12800.0,4,3,14700.0,0.0,3400.0,7700.0,3000.0,No,0.0,767.0,96200.0,47800.0,Education EMI,252000.0,7,Not_Eligible,2706.0
32.0,Male,Married,Post Graduate,51500.0,Private,0.7,Small,Own,0.0,3,2,0.0,0.0,7500.0,10200.0,5100.0,No,0.0,774.0,228600.0,103800.0,Education EMI,188000.0,44,Eligible,13776.0
48.0,Male,Married,Graduate,37500.0,Private,3.7,Mid-size,Own,0.0,3,2,12400.0,0.0,3600.0,9400.0,5600.0,No,0.0,690.0,55800.0,14600.0,E-commerce Shopping EMI,59000.0,6,Not_Eligible,2600.0
27.0,Female,Single,Graduate,15000.0,Private,0.8,Large Indian,Family,0.0,2,1,7900.0,0.0,900.0,4400.0,2300.0,Yes,4400.0,560.0,103500.0,23300.0,E-commerce Shopping EMI,64000.0,24,Not_Eligible,500.0
58.0,Female,Married,Graduate,41400.0,Private,8.3,MNC,Family,0.0,3,2,9000.0,0.0,3400.0,6700.0,2800.0,No,0.0,803.0,173200.0,67500.0,Home Appliances EMI,229000.0,34,Eligible,11700.0
58.0,Female,Married,Graduate,65500.0,Private,13.8,Mid-size,Own,0.0,3,2,0.0,13600.0,5700.0,17900.0,3400.0,Yes,18600.0,833.0,299900.0,151300.0,E-commerce Shopping EMI,38000.0,3,Not_Eligible,2646.0
27.0,Female,Single,Post Graduate,114900.0,Private,0.5,Large Indian,Rented,36900.0,1,0,0.0,0.0,7200.0,23400.0,21900.0,Yes,19600.0,722.0,613100.0,247100.0,Personal Loan EMI,117000.0,24,Not_Eligible,1652.0
38.0,Male,Married,Graduate,40900.0,Self-employed,2.7,Startup,Rented,8500.0,3,2,14000.0,0.0,5600.0,6300.0,2700.0,No,0.0,612.0,245200.0,60400.0,Personal Loan EMI,916000.0,51,Not_Eligible,1368.0
27.0,Female,Married,Graduate,35000.0,Private,0.5,Startup,Own,0.0,3,2,0.0,0.0,2900.0,5500.0,5900.0,No,0.0,795.0,158800.0,38000.0,E-commerce Shopping EMI,78000.0,12,Eligible,9936.0
48.0,Male,Married,Post Graduate,54300.0,Private,25.7,MNC,Rented,10800.0,3,2,13600.0,0.0,5600.0,12400.0,7800.0,Yes,13000.0,684.0,260900.0,76300.0,Vehicle EMI,452000.0,52,Not_Eligible,500.0
27.0,Male,Single,High School,28900.0,Private,1.3,Large Indian,Own,0.0,2,1,9700.0,0.0,3700.0,5500.0,3500.0,No,0.0,612.0,39800.0,20400.0,Home Appliances EMI,156000.0,14,Not_Eligible,2080.0
48.0,Female,Married,High School,12600.0,Private,3.0,Mid-size,Family,5132.0,5,4,9700.0,0.0,1600.0,2300.0,700.0,No,0.0,776.0,23800.0,9500.0,E-commerce Shopping EMI,27000.0,9,Not_Eligible,500.0
48.0,Male,Married,Professional,118800.0,Private,0.5,Large Indian,Family,0.0,5,4,12900.0,0.0,11900.0,23800.0,19800.0,No,0.0,677.0,789500.0,192500.0,Home Appliances EMI,297000.0,18,High_Risk,22176.0
47.0,Female,Married,Graduate,17929.0,Private,0.5,Large Indian,Rented,3700.0,3,2,0.0,21400.0,1000.0,3100.0,2400.0,No,0.0,725.0,63000.0,34800.0,Personal Loan EMI,322000.0,49,Not_Eligible,500.0
32.0,Female,Married,Graduate,93400.0,Private,1.4,Startup,Family,0.0,5,4,0.0,11400.0,6500.0,17000.0,16800.0,No,0.0,676.0,705200.0,337500.0,E-commerce Shopping EMI,115000.0,8,Eligible,22935.0
58.0,Male,Married,Graduate,59900.0,Self-employed,3.6,Large Indian,Rented,9600.0,3,2,0.0,0.0,5600.0,17300.0,9700.0,No,0.0,559.0,325600.0,157000.0,Personal Loan EMI,982000.0,59,Not_Eligible,6372.0
38.0,Female,Single,Graduate,84700.0,Private,13.6,Small,Rented,27400.0,1,0,0.0,0.0,7500.0,24600.0,9200.0,No,0.0,688.0,591500.0,224300.0,Personal Loan EMI,87000.0,40,Eligible,8800.0
58.0,Male,Married,Post Graduate,50800.0,Private,5.2,Mid-size,Rented,11600.0,3,2,0.0,0.0,5500.0,13100.0,8100.0,Yes,7200.0,704.0,317300.0,184500.0,Home Appliances EMI,28000.0,10,Not_Eligible,2040.5
48.0,Female,Married,Graduate,85600.0,Private,0.5,Mid-size,Own,0.0,3,2,3400.0,0.0,11400.0,13000.0,4300.0,No,0.0,758.0,434700.0,132400.0,Education EMI,425000.0,20,High_Risk,25680.0
32.0,Male,Married,Graduate,33700.0,Private,10.0,Large Indian,Family,0.0,4,3,0.0,0.0,4700.0,6700.0,4500.0,No,0.0,646.0,61300.0,34400.0,E-commerce Shopping EMI,46000.0,4,Not_Eligible,5696.0
32.0,Male,Married,Graduate,43600.0,Government,5.3,MNC,Family,5362.0,2,1,10300.0,11600.0,4400.0,6700.0,7900.0,No,0.0,771.0,327900.0,130900.0,Personal Loan EMI,484000.0,25,Not_Eligible,1960.2
48.0,Female,Married,Graduate,24300.0,Private,4.5,MNC,Rented,7900.0,4,3,0.0,21600.0,3600.0,5000.0,4700.0,Yes,3800.0,623.0,80100.0,27300.0,Personal Loan EMI,435000.0,51,Not_Eligible,500.0
32.0,Male,Single,Post Graduate,33100.0,Private,0.6,MNC,Own,0.0,2,1,3700.0,0.0,4700.0,9500.0,6400.0,No,0.0,700.0,260900.0,140600.0,E-commerce Shopping EMI,119000.0,16,Not_Eligible,3872.0
32.0,Male,Married,Graduate,103700.0,Private,4.0,Mid-size,Family,0.0,3,2,7400.0,0.0,7600.0,24100.0,14200.0,No,0.0,716.0,776400.0,433000.0,E-commerce Shopping EMI,18000.0,10,Eligible,27720.0
38.0,Male,Married,Graduate,53000.0,Government,2.0,Large Indian,Family,0.0,3,2,8600.0,9200.0,3500.0,10300.0,4200.0,Yes,6400.0,718.0,71600.0,36200.0,Home Appliances EMI,285000.0,11,Not_Eligible,3024.0
38.0,Male,Married,Post Graduate,64900.0,Private,1.1,Small,Own,0.0,3,2,4200.0,0.0,8500.0,13300.0,10000.0,No,0.0,660.0,472400.0,198300.0,Education EMI,234000.0,48,Eligible,15895.0
32.0,Male,Married,Graduate,35000.0,Private,6.6,Large Indian,Own,0.0,5,4,8900.0,12200.0,3000.0,8000.0,6400.0,Yes,6400.0,661.0,268400.0,75200.0,Personal Loan EMI,501000.0,29,Not_Eligible,500.0
48.0,Male,Married,Graduate,323930.0,Private,25.0,Startup,Rented,13100.0,3,2,14200.0,0.0,4500.0,10700.0,6500.0,No,0.0,717.0,114700.0,35000.0,Home Appliances EMI,24000.0,20,Not_Eligible,500.0
38.0,Male,Married,High School,54300.0,Private,5.0,Large Indian,Family,0.0,3,2,7200.0,0.0,3000.0,15000.0,10300.0,No,0.0,681.0,407800.0,109600.0,E-commerce Shopping EMI,149000.0,5,Not_Eligible,10340.0
48.0,Male,Married,Post Graduate,34200.0,Private,6.8,Mid-size,Family,0.0,4,3,3100.0,0.0,4900.0,8300.0,2600.0,No,0.0,657.0,141800.0,64300.0,Home Appliances EMI,142000.0,33,Eligible,7650.0
27.0,Male,Single,Graduate,21400.0,Private,3.2,Mid-size,Own,5373.0,1,0,0.0,0.0,2100.0,4200.0,2700.0,Yes,5000.0,684.0,89300.0,47900.0,Personal Loan EMI,361000.0,16,Not_Eligible,2590.0
38.0,Female,Married,Graduate,39800.0,Government,9.4,Mid-size,Family,0.0,3,2,13600.0,0.0,3000.0,8100.0,6600.0,No,0.0,693.0,138300.0,51700.0,Vehicle EMI,1332000.0,42,Not_Eligible,4675.0
48.0,Female,Married,Graduate,47700.0,Private,1.2,Large Indian,Rented,16100.0,4,3,6100.0,0.0,4300.0,13400.0,7100.0,No,0.0,644.0,317800.0,77400.0,Personal Loan EMI,308000.0,31,Not_Eligible,500.0
38.0,Male,Married,Professional,64200.0,Private,13.1,MNC,Rented,17100.0,3,2,12800.0,0.0,9600.0,12700.0,7200.0,No,0.0,675.0,88100.0,50500.0,Education EMI,81000.0,20,Not_Eligible,1920.0
38.0,Male,Married,Graduate,69200.0,Private,0.5,Startup,Rented,13600.0,4,3,0.0,0.0,9900.0,19500.0,7100.0,No,0.0,710.0,226600.0,78300.0,Vehicle EMI,647000.0,13,Not_Eligible,7640.0
58.0,Male,Married,Professional,35100.0,Private,22.3,Large Indian,Rented,7600.0,2,1,0.0,0.0,5000.0,9900.0,6000.0,No,0.0,674.0,206800.0,61100.0,Education EMI,250000.0,17,Not_Eligible,3300.0
27.0,Female,Single,High School,85800.0,Private,1.9,Large Indian,Family,0.0,1,0,0.0,0.0,6800.0,19500.0,16200.0,No,0.0,692.0,620700.0,341000.0,E-commerce Shopping EMI,89000.0,13,Eligible,23815.0
27.0,Male,Married,Graduate,66000.0,Government,0.5,Large Indian,Own,0.0,4,3,5100.0,18100.0,4800.0,15100.0,9300.0,No,0.0,773.0,406300.0,174000.0,E-commerce Shopping EMI,165000.0,10,Not_Eligible,8976.0
27.0,Male,Single,Graduate,88500.0,Private,0.5,Mid-size,Family,0.0,1,0,0.0,0.0,9100.0,25500.0,16600.0,Yes,21900.0,772.0,475700.0,150200.0,E-commerce Shopping EMI,28000.0,11,Eligible,5174.4
32.0,Male,Married,Graduate,31200.0,Government,0.5,MNC,Own,0.0,3,2,7300.0,0.0,3900.0,8100.0,5100.0,No,0.0,666.0,224000.0,109900.0,E-commerce Shopping EMI,166000.0,23,Not_Eligible,3740.0
32.0,Male,Married,Post Graduate,66000.0,Self-employed,5.1,Large Indian,Own,0.0,3,2,0.0,8100.0,9300.0,19400.0,6700.0,Yes,7300.0,603.0,190600.0,95000.0,Vehicle EMI,1069000.0,82,Not_Eligible,3830.4
38.0,Male,Married,High School,18400.0,Self-employed,7.1,Startup,Rented,5000.0,4,3,7200.0,7800.0,2100.0,4400.0,1600.0,Yes,4600.0,659.0,92600.0,37200.0,E-commerce Shopping EMI,29000.0,10,Not_Eligible,500.0
38.0,Female,Married,Post Graduate,71500.0,Private,3.8,Small,Family,0.0,5,4,10900.0,0.0,7600.0,18300.0,12100.0,No,0.0,646.0,357300.0,169600.0,E-commerce Shopping EMI,168000.0,22,High_Risk,9040.0
32.0,Female,Married,High School,74100.0,Private,5.5,MNC,Rented,18200.0,3,2,3400.0,0.0,7400.0,14700.0,8600.0,No,0.0,736.0,303300.0,123900.0,Vehicle EMI,110000.0,70,Eligible,10900.0
38.0,Female,Married,Graduate,47700.0,Private,5.2,Mid-size,Rented,11100.0,3,2,0.0,0.0,4100.0,11100.0,3400.0,No,0.0,698.0,116500.0,50300.0,Vehicle EMI,1033000.0,15,Not_Eligible,9000.0
48.0,Male,Single,Professional,75000.0,Private,12.1,Startup,Rented,19000.0,1,0,0.0,0.0,5300.0,14300.0,10400.0,No,0.0,727.0,474400.0,248400.0,Home Appliances EMI,275000.0,22,High_Risk,14300.0
38.0,Female,Married,Professional,47600.0,Private,1.9,Large Indian,Own,0.0,4,3,8800.0,0.0,4700.0,7700.0,3300.0,No,0.0,679.0,353200.0,165200.0,Personal Loan EMI,808000.0,35,Not_Eligible,12705.0
58.0,Male,Married,High School,31600.0,Private,5.2,MNC,Own,0.0,4,3,8000.0,0.0,1600.0,7400.0,4100.0,Yes,4500.0,773.0,53400.0,28400.0,Vehicle EMI,491000.0,50,Not_Eligible,2016.0
27.0,Female,Single,Post Graduate,90800.0,Self-employed,1.9,MNC,Family,0.0,1,0,0.0,0.0,10100.0,20600.0,8100.0,No,0.0,643.0,363000.0,158100.0,E-commerce Shopping EMI,13000.0,15,Eligible,18720.0
32.0,Male,Married,Post Graduate,76700.0,Government,4.0,Mid-size,Own,0.0,3,2,0.0,0.0,4800.0,20200.0,12900.0,Yes,18000.0,660.0,49600.0,18600.0,Education EMI,441000.0,42,Not_Eligible,6406.4
38.0,Female,Married,Post Graduate,60200.0,Private,14.4,MNC,Rented,19300.0,3,2,0.0,0.0,5400.0,11200.0,11000.0,No,0.0,666.0,303000.0,145200.0,Personal Loan EMI,172000.0,58,Eligible,6650.0
32.0,Male,Single,Professional,84600.0,Private,0.5,Mid-size,Family,0.0,2,1,12600.0,0.0,9400.0,14700.0,9100.0,Yes,20900.0,764.0,312700.0,148800.0,Home Appliances EMI,186000.0,19,Not_Eligible,6014.4
32.0,Female,Married,Graduate,38900.0,Government,3.2,MNC,Rented,8400.0,3,2,8000.0,0.0,4200.0,8800.0,5200.0,Yes,5100.0,701.0,57600.0,26800.0,Home Appliances EMI,228000.0,14,Not_Eligible,500.0
38.0,Male,Single,Graduate,18000.0,Private,0.5,Large Indian,Rented,4000.0,2,1,8000.0,0.0,2100.0,2900.0,1700.0,No,0.0,850.0,36100.0,19900.0,Personal Loan EMI,783000.0,14,Not_Eligible,500.0
38.0,Female,Married,Graduate,66200.0,Private,10.3,MNC,Own,0.0,3,2,4800.0,6400.0,9300.0,12600.0,10100.0,Yes,17100.0,664.0,356900.0,112400.0,Home Appliances EMI,263000.0,33,Not_Eligible,2065.0
38.0,Male,Married,Post Graduate,31700.0,Private,3.1,Large Indian,Rented,5800.0,4,3,8000.0,0.0,3900.0,8200.0,2200.0,Yes,8400.0,662.0,126500.0,32000.0,E-commerce Shopping EMI,16000.0,4,Not_Eligible,500.0
32.0,Female,Married,High School,42600.0,Private,0.6,Large Indian,Own,0.0,4,3,14200.0,0.0,5800.0,12100.0,3000.0,Yes,6600.0,590.0,245400.0,64900.0,Home Appliances EMI,245000.0,27,Not_Eligible,500.0
58.0,Male,Married,Post Graduate,46900.0,Private,22.1,Mid-size,Family,0.0,4,3,0.0,0.0,4100.0,11800.0,7300.0,No,0.0,764.0,201000.0,87700.0,Education EMI,51000.0,23,Eligible,14220.0
38.0,Male,Married,Graduate,18000.0,Private,6.2,Mid-size,Family,0.0,3,2,3500.0,0.0,2700.0,4900.0,1500.0,No,0.0,735.0,114500.0,66300.0,Vehicle EMI,203000.0,68,Not_Eligible,2970.0
32.0,Male,Married,Graduate,50100.0,Private,4.1,MNC,Family,0.0,2,1,0.0,0.0,6500.0,9900.0,4300.0,No,0.0,592.0,,152900.0,Personal Loan EMI,439000.0,12,Not_Eligible,11760.0
32.0,Female,Single,Graduate,93600.0,Private,0.5,Large Indian,Own,0.0,1,0,0.0,0.0,5200.0,15600.0,9600.0,No,0.0,837.0,,63900.0,Personal Loan EMI,783000.0,40,High_Risk,30336.0
32.0,Male,Married,Graduate,109600.0,Self-employed,0.5,Startup,Family,0.0,4,3,7300.0,0.0,16200.0,16500.0,18000.0,No,0.0,773.0,490100.0,166000.0,Home Appliances EMI,31000.0,31,Eligible,27864.0
27.0,Male,Married,Graduate,28800.0,Private,0.8,Mid-size,Rented,6600.0,4,3,13100.0,22900.0,1600.0,7300.0,5200.0,No,0.0,772.0,140300.0,58000.0,Education EMI,368000.0,41,Not_Eligible,500.0
32.0,Female,Married,Post Graduate,39000.0,Private,0.8,MNC,Rented,11400.0,3,2,2200.0,8300.0,5200.0,11300.0,5200.0,No,0.0,754.0,167600.0,78900.0,Education EMI,416000.0,43,Not_Eligible,500.0
32.0,Male,Single,Graduate,36300.0,Government,4.6,Mid-size,Rented,9300.0,1,0,0.0,0.0,3000.0,5700.0,4400.0,Yes,9800.0,697.0,51300.0,21600.0,E-commerce Shopping EMI,100000.0,17,Not_Eligible,1262.8
27.0,Female,Single,High School,47200.0,Private,0.5,Mid-size,Own,0.0,2,1,4900.0,23900.0,4400.0,8300.0,5600.0,No,0.0,716.0,165800.0,68900.0,Home Appliances EMI,137000.0,17,Not_Eligible,500.0
48.0,Male,Married,Post Graduate,57800.0,Self-employed,1.4,Startup,Own,0.0,2,1,0.0,0.0,5900.0,16100.0,9400.0,No,0.0,678.0,134800.0,57600.0,Personal Loan EMI,446000.0,46,Not_Eligible,11880.0
38.0,Male,Married,Post Graduate,65700.0,Private,0.5,Mid-size,Rented,16700.0,3,2,0.0,0.0,5600.0,17100.0,10900.0,No,0.0,683.0,504100.0,138200.0,Education EMI,304000.0,34,Not_Eligible,6776.0
58.0,Male,Single,High School,26400.0,Self-employed,28.4,MNC,Rented,6500.0,2,1,0.0,0.0,3500.0,7800.0,5000.0,No,0.0,736.0,44900.0,18000.0,Personal Loan EMI,648000.0,56,Not_Eligible,1296.0
38.0,Male,Married,Graduate,15000.0,Private,3.2,Mid-size,Own,0.0,4,3,6000.0,0.0,1500.0,3300.0,800.0,No,0.0,650.0,91800.0,38400.0,E-commerce Shopping EMI,132000.0,7,Not_Eligible,1870.0
38.0,Male,Married,Post Graduate,75900.0,Private,3.3,Startup,Family,0.0,3,2,7200.0,0.0,5200.0,14600.0,4900.0,No,0.0,688.0,126300.0,41000.0,Education EMI,381000.0,27,High_Risk,17600.0
32.0,Female,Married,Graduate,68200.0,Private,1.7,Mid-size,Own,0.0,4,3,8600.0,19200.0,8000.0,10700.0,9100.0,No,0.0,670.0,214000.0,101100.0,Vehicle EMI,574000.0,61,Not_Eligible,6300.0
38.0,Female,Married,Post Graduate,83600.0,Private,1.4,Startup,Rented,28600.0,4,3,0.0,0.0,7000.0,21800.0,11700.0,Yes,10000.0,709.0,626500.0,159800.0,Home Appliances EMI,33000.0,17,Not_Eligible,1732.5
38.0,Male,Married,Graduate,47500.0,Private,10.6,MNC,Rented,10500.0,3,2,9100.0,0.0,6400.0,12400.0,5100.0,No,0.0,740.0,43500.0,24900.0,Education EMI,281000.0,24,Not_Eligible,1600.0
27.0,Male,Married,Post Graduate,53200.0,Private,0.5,Startup,Rented,15300.0,5,4,4600.0,0.0,7000.0,13000.0,5900.0,Yes,7500.0,657.0,247300.0,74600.0,Home Appliances EMI,113000.0,21,Not_Eligible,500.0
27.0,Male,Single,Graduate,18700.0,Private,2.9,MNC,Family,0.0,2,1,0.0,0.0,2300.0,5200.0,1200.0,No,0.0,717.0,65400.0,24400.0,Vehicle EMI,716000.0,17,Not_Eligible,5000.0
48.0,Female,Married,High School,31200.0,Private,0.5,MNC,Rented,9200.0,4,3,3900.0,19100.0,4200.0,7600.0,5500.0,Yes,4100.0,659.0,196900.0,73500.0,Vehicle EMI,845000.0,24,Not_Eligible,500.0
32.0,Female,Single,Graduate,15000.0,Government,1.2,Startup,Family,0.0,2,1,14700.0,7900.0,1100.0,3200.0,1700.0,No,0.0,753.0,8600.0,3300.0,E-commerce Shopping EMI,59000.0,4,Not_Eligible,500.0
27.0,Male,Single,Graduate,25700.0,Private,0.6,Mid-size,Own,0.0,2,1,0.0,0.0,1600.0,6400.0,3800.0,Yes,4300.0,571.0,177500.0,96100.0,Vehicle EMI,1414000.0,77,Not_Eligible,2365.44
38.0,Female,Married,Professional,60000.0,Self-employed,2.6,Large Indian,Rented,14400.0,3,2,14400.0,9900.0,6900.0,11100.0,4900.0,No,0.0,755.0,357600.0,122100.0,Education EMI,394000.0,20,Not_Eligible,500.0
27.0,Male,Married,Post Graduate,57700.0,Private,2.1,Mid-size,Own,,4,3,8700.0,0.0,4400.0,9200.0,8000.0,No,0.0,813.0,,36900.0,Personal Loan EMI,781000.0,28,Not_Eligible,16440.0
32.0,Male,Single,High School,37700.0,Private,1.0,MNC,Rented,10600.0,2,1,9700.0,15600.0,3800.0,11300.0,5900.0,Yes,8400.0,611.0,290000.0,61400.0,Vehicle EMI,829000.0,36,Not_Eligible,500.0
38.0,Male,Married,Professional,46900.0,Government,5.8,Mid-size,Family,0.0,4,3,0.0,0.0,5000.0,11900.0,8500.0,No,0.0,749.0,196500.0,48100.0,Home Appliances EMI,225000.0,17,Not_Eligible,11825.0
32.0,Male,Married,High School,12000.0,Private,1.5,Large Indian,Rented,3300.0,3,2,0.0,16300.0,1600.0,2700.0,1200.0,No,0.0,705.0,40400.0,9300.0,Personal Loan EMI,275000.0,50,Not_Eligible,500.0
38.0,Male,Married,Post Graduate,59600.0,Government,1.2,Mid-size,Rented,14800.0,3,2,12000.0,22700.0,5300.0,15000.0,9600.0,No,0.0,704.0,475200.0,156000.0,Vehicle EMI,1271000.0,52,Not_Eligible,500.0
32.0,Male,Single,Professional,69700.0,Private,6.0,Large Indian,Own,0.0,1,0,0.0,0.0,10200.0,20300.0,5600.0,No,0.0,698.0,152200.0,53600.0,Vehicle EMI,1462000.0,25,Not_Eligible,16800.0
58.0,Male,Married,Graduate,33800.0,Private,15.5,MNC,Family,0.0,3,2,0.0,0.0,4300.0,8200.0,2500.0,No,0.0,689.0,213800.0,67400.0,E-commerce Shopping EMI,99000.0,14,Eligible,10340.0
27.0,Male,Single,Graduate,29800.0,Private,2.1,MNC,Own,0.0,1,0,0.0,0.0,4400.0,5300.0,5300.0,No,0.0,735.0,173700.0,46700.0,Home Appliances EMI,117000.0,10,Not_Eligible,7400.0
32.0,Male,Single,Graduate,36200.0,Private,1.5,MNC,Rented,10900.0,2,1,2900.0,6900.0,2400.0,7800.0,3000.0,Yes,6100.0,605.0,249000.0,135900.0,Education EMI,473000.0,48,Not_Eligible,500.0
48.0,Female,Married,Graduate,24100.0,Private,11.6,MNC,Own,0.0,3,2,9100.0,0.0,2600.0,5100.0,2500.0,No,0.0,695.0,130600.0,58900.0,Personal Loan EMI,476000.0,45,Not_Eligible,2400.0
38.0,Male,Married,Post Graduate,147000.0,Private,1.1,MNC,Rented,37700.0,2,1,0.0,14600.0,12200.0,42500.0,27800.0,Yes,41900.0,665.0,616500.0,252700.0,Home Appliances EMI,193000.0,6,Not_Eligible,500.0
32.0,Male,Married,High School,29000.0,Government,5.7,Large Indian,Family,0.0,4,3,8100.0,0.0,3500.0,8100.0,3200.0,No,0.0,713.0,88500.0,26800.0,Home Appliances EMI,67000.0,23,High_Risk,3355.0
32.0,Male,Married,Graduate,40900.0,Private,1.6,Startup,Own,0.0,4,3,12600.0,22400.0,4100.0,8600.0,5100.0,No,0.0,732.0,24400.0,13400.0,E-commerce Shopping EMI,95000.0,20,Not_Eligible,500.0
